name,id
Tate Donovan,15455
Scott Thompson,78576
Denis Akiyama,538687
Mung-Ling Tsui,1337815
Anne Fletcher,29214
Allison Lynn,1752070
Gabriel Antonacci,1720992
Mary Pitt,1463851
Dan Sutcliffe,1752072
Vanessa Cobham,124342
Jordan Allison,1226927
Rachael Dolan,1752074
Charlotte Szivak,1752076
Toya Alexis,1470304
Valerie Boyle,1752079
Karla Jang,1752081
Silver Kim,1752082
Robert Yeretch,1752084
Scott Hurst,931757
Christie Allaire,1752085
Stephanie Allaire,1752086
Amy Allicock,1752087
Helena Chow,1752089
Joella Crichton,1752090
Laura Jeanes,1281022
Rebecca Priestley,1752093
Taryn Ash,1752097
Catherine Burdon,981162
Shane Cardwell,8357
Tommy Chang,201067
Alexander Conti,133926
David Lipper,110018
Tig Fong,190917
Maria Georgas,1752102
Nikki Shah,1752103
Jordan Todosey,1228361
Emi Yaguchi-Chow,1752104
Demetrius Joyette,147478
Christopher Lortie,1752105
Sotiri Georgas,1752106
Steven Georgas,1752107
Gannon Racki,1752108
Seth Howard,1202533
Marcus Hutchings,1205728
David Sparrow,36816
Evelyn Kaye,1752109
Christian Laurin,1239480
John MacDonald,1366350
Billy Oliver,1752110
Curtis Parker,1387397
Matt Purdy,1366377
Jean Pearson,1480850
Kyle Schmid,232
Robert Thomas,1752112
Michael Quintero,1752113
Cameron Hickox,1752114
Cade Courtley,1214665
Cassius Willis,1225829
Jeff Podgurski,1752115
F. Valentino Morales,84064
Hank Amos,9437
Charles Haugk,1275523
Scott Reiff,1752116
Darryl Dinn,1299079
Christopher Giroux,1415898
Liam McGuckian,1752117
Adam Shankman,20739
Cameron Diaz,6941
Alec Baldwin,7447
Abigail Breslin,17140
Joan Cusack,3234
Sofia Vassilieva,95039
Emily Deschanel,25933
Heather Wahlquist,55317
Jason Patric,12261
Evan Ellingson,181074
Frank Cassavetes,52650
Nicole Marie Lenz,1109920
Chris Kinkade,1592478
Rick Salomon,136778
Frank Peluso,1592035
Rico Simonini,1009511
Keith Kraft,1429705
Aaron Eckhart,6383
Yvonne Strahovski,63312
Bill Nighy,2440
Jai Courtney,224181
Miranda Otto,502
Caitlin Stasey,145245
Kevin Grevioux,3952
Aden Young,144081
Deniz Akdeniz,145246
Chris Pang,145248
Socratis Otto,75174
Steve Mouzakis,187494
Bruce Spence,27752
Mahesh Jadu,1386458
John Reynolds,121160
Goran D. Kleut,61784
Chris Anderson,1418813
Nicholas Bell,15340
Virginie Le Brun,1519995
Penny Higgs,1406989
Yasca Sinigaglia,1872770
Nicole Downs,1291814
Lindsay Lohan,49265
Samaire Armstrong,19664
Chris Pine,62064
Missi Pyle,1294
Makenzie Vega Norfolk,2139
Bree Turner,62065
Faizon Love,62066
Carlos Ponce,62067
Danny Jones,62069
Tom Fletcher,62068
Harry Judd,62070
Dougie Poynter,62071
Tovah Feldshuh,41640
Dane Rhodes,60874
Jaqueline Fleming,62072
Ira Hawkins,62074
J.C. Sealy,62075
Mikki Val,62073
Marcus Hester,62076
Ameer Baraka,62077
Anne Ewen,1504712
Hannah Tointon,228431
Jet Li,1336
Morgan Freeman,192
Bob Hoskins,382
Vincent Regan,9831
Dylan Brown,8032
Tamer Hassan,39660
Phyllida Law,17787
Michael Jenn,62106
Carole Ann Wilson,62107
Kerry Condon,62105
Mike Lambert,62108
Puthirith Chou,62110
Jaclyn Tze Wey,62109
Georgina Chapman,41547
Tony Theng,62111
Owen Lay,62112
Andy Beckwith,1123
Franck Xie Cheng,62113
Michael Webber,62115
Danielle Louise Harley,62114
Affif Ben Badra,54807
Miguel Eduardo Cueva,1592947
Scott Adkins,78110
Thure Lindhardt,20258
Dylan Smith,1067604
Georgina Reilly,90683
Alain Goulem,21292
Stephen McHattie,230
Peter Michael Dillon,1098451
Paul Braunstein,948533
Alexis Maitland,546216
Sean Tucker,937792
Karl Claude,1108894
Jon McLaren,225418
Norman Mikeal Berketa,1738960
Rachelle Casseus,1323877
Charlie Ebbs,1542593
Bart Rochon,1376615
Matthew Stefiuk,80029
Jolanta Mojsej,1738959
Corey Charron,1108893
Jessica Alba,56731
Mekhi Phifer,327
Joy Bryant,52847
Romeo Miller,62122
David Moscow,62123
Zachary Isaiah Williams,62124
Missy Elliott,62125
Anthony Sherwood,62126
Lonette McKee,62127
Maestro,62128
Judi Embden,62129
Alison Sealy-Smith,60042
Scott Neil,62131
Sarah Francis,62133
Jull Weber,62132
Kevin Duhaney,62134
Brandi Ward,62135
Fonzworth Bentley,62136
Tracy Dawson,62137
Laurieann Gibson,557794
Shawn Desman,1457035
Jon Favreau,15277
Leland Orser,2221
Christian Slater,2224
Jeremy Piven,12799
Daniel Stern,11511
Jeanne Tripplehorn,10478
Rob Brownstein,62146
Blake Gibbons,41275
Tyler Cole Malinger,62148
Joey Zimmerman,62147
Russell B. McKenzie,62151
Kobe Tai,591369
Pancho Demmings,62150
Lawrence Pressman,6564
Brian Grandison,62154
John Cappon,62155
Steve Fitchpatrick,62153
Angelo Di Mascio Jr.,62152
Linda Klein,62156
Dane Cook,31837
Dan Fogler,58873
Ellia English,62171
Lonny Ross,205300
Chelan Simmons,27775
Mackenzie Mowat,62167
Sasha Pieterse,62168
Caroline Ford,62169
Chiara Zanni,33053
Benjamin Ayres,62172
Carrie Fleming,58908
Crystal Lowe,58393
Tava Smiley,1216429
Annie Wood,1224766
Kari-Ann Wood,1558944
Victoria Bidewell,1066283
Jodelle Ferland,8338
Michelle Harrison,59240
Steve Bacic,33355
Georgia Craig,1224825
Heather Doerksen,83423
Michael Teigen,37980
Michelle Andrew,1666302
Liam James,83852
Minnie Driver,6613
Mary McCormack,1980
Kevin McNally,2449
Danny Dyer,41042
Michael Gambon,5658
Darren Boyd,17123
Mark Williams,20999
Simon Scardifield,62258
Len Collin,62259
Jane Partridge,62260
Ranjit Krishnamma,62262
Ben Walden,62264
Mark Meadows,62263
Danny Babington,62266
Kevin Eldon,39185
Julian Wadham,5473
John Sessions,26860
Paul Brown,62267
Michael Attwell,24598
Jason Griffiths,40078
Sandra Bullock,18277
Regina King,9788
Enrique Murciano,12798
William Shatner,1748
Eileen Brennan,39015
Ernie Hudson,8874
Elisabeth Röhm,126932
Abraham Benrubi,21132
Treat Williams,4515
Heather Burns,26716
Diedrich Bader,5727
Octavia Spencer,6944
Leslie Grossman,1212123
Chris Evans,16828
Samuel L. Jackson,2231
Scarlett Johansson,1245
Robert Redford,4135
Sebastian Stan,60898
Anthony Mackie,53650
Cobie Smulders,71189
Frank Grillo,81685
Maximiliano Hernández,1018947
Emily VanCamp,84247
Hayley Atwell,39459
Toby Jones,13014
Stan Lee,7624
Callan Mulvey,208296
Jenny Agutter,14464
Bernard White,156739
Alan Dale,52760
Chin Han,101015
Garry Shandling,52865
Georges St-Pierre,74750
Salvator Xuereb,7041
Brian Duffy,949852
Zack Duhame,186573
Adetokumboh M'Cormack,208096
Christopher George Sarris,1751768
Aaron Himelstein,43373
Allan Chanes,1751772
Joe Russo,19272
Christopher Markus,5551
Stephen McFeely,5552
Pat Healy,60846
Ed Brubaker,139744
D.C. Pierson,119590
Danny Pudi,205179
Bernie Zilinskas,1751774
Branka Katić,15268
Angela Russo-Otstot,1751775
Jon Sklaroff,117190
Chad Todhunter,1216156
Abigail Marlowe,179012
Jeremy Maxwell,98429
Emerson Brooks,1392838
Evan Parke,3493
Ricardo Chacon,1448939
Griffin M. Allen,1751780
Ann Russo,1483700
Joe Rosalina,1751783
Michael Debeljak,1751784
Eddie J. Fernandez,18300
Jody Hart,1672052
Steven Culp,63544
Derek Hughes,88098
Wendy Hoopes,164040
Ethan Rains,964848
Dominic Rains,146411
Charles Wittman,1751787
Andy Martinez, Jr.,1751788
Michael De Geus,1751789
Terence O'Rourke,1751790
Anne Grimenstein,1751791
Dante Rosalina,1751792
Robert Clotworthy,35172
June Christopher,1196879
Gary Sinise,33
Dean Barlage,1034648
Thomas Kretschmann,3491
Elizabeth Olsen,550843
Debbie Scaletta,1636801
Aaron Taylor-Johnson,27428
David Belle,62439
Cyril Raffaelli,21946
Tony D'Amario,62441
Dany Verissimo-Petit,62443
Bibi Naceri,62442
Nicolas Woirion,62445
François Chattot,62444
Patrick Olivier,62446
Tarik Boucekhine,62449
Samir Guesmi,62447
Azad,62453
Lyès Salem,1371180
Turan Bagci,62455
Ludovic Berthillot,62452
Grégory Jean,62450
Warren Zavatta,62451
Nicolas Wan Park,62458
Dominique Dorol,62454
Gilles Gambino,62457
Chamsi Charlesia,62456
Jérôme Gadner,62448
Stephane Vigroux,1885466
Jérôme Paquatte,1885452
Milla Jovovich,63
Dustin Hoffman,4483
Faye Dunaway,6450
John Malkovich,6949
Vincent Cassel,1925
Tchéky Karyo,10698
Rab Affleck,39678
Stéphane Algoud,24564
Edwin Apps,214644
David Bailie,1715
Christian Barbier,44509
Timothy Bateson,3548
David Begg,1077832
Christian Bergner,1077833
Andrew Birkin,2355
Dominic Borrelli,1236882
John Boswall,140452
Matthew Bowyer,1077834
Paul Brooke,9142
Bruce Byron,25675
Charles Cork,40651
Patrice Cossoneau,1077835
Daniel Daujon,1077836
Tonio Descanvelle,61623
Philippe du Janerand,550110
Sissi Duparc,549323
Barbara Elbourn,1077839
Christian Erickson,45849
David Barber,1229040
Joseph Rezwin,1668026
Jemima West,1075355
Josh Lucas,6164
Jessica Biel,10860
Jamie Foxx,134
Sam Shepard,9880
Richard Roxburgh,12206
Joe Morton,3977
Ebon Moss-Bachrach,21042
Michael Denkha,62487
Clayton Adams,62489
Rocky Helton,62488
Ian Bliss,62486
Maurice Morgan,62490
Woody Naismith,62491
Nicholas Hammond,29095
Joel Tobeck,41785
John Waters,10367
Charles Ndibe,62492
Michael McCabe,62493
Jim Diamond,62495
Sara Saliba,62494
Caroline de Souza Correa,1291386
Megan Gale,1232126
Harli Ames,1530759
Kirsten Dunst,205
Ben Foster,11107
Melissa Sagemiller,41555
Colin Hanks,3492
Zoe Saldana,8691
Swoosie Kurtz,12967
Mila Kunis,18973
Ed Begley Jr.,42157
Shane West,81295
Sisqó,62520
Martin Short,519
Carmen Electra,28639
Coolio,35549
Christopher Jacot,62522
Vitamin C,62521
Kylie Bax,62523
Jeanie Calleja,62525
Park Bench,62527
Daniel Enright,62526
Dov Tiefenbach,44176
Kevin Costner,1269
Ron Rifkin,12122
Susanna Thompson,62547
Kathy Bates,8534
Jacob Smith,9829
Robert Bailey Jr.,55426
Jay Thomas,21105
Lisa Banes,52878
Matt Craven,13525
Leslie Hope,25834
Kim Staunton,17358
Liza Weil,55546
Nigel Gibbs,11915
Casey Biggs,62548
Heidi Swedberg,62551
Marybeth Fisher,62550
Jamie Sue Sherrill,62552
Samantha Smith,62553
Peter Hansen,62549
Deirdre O'Connell,77013
Linda Hunt,12516
Justina Machado,95517
Camilla Belle,38670
Katie Cassidy,55775
Brian Geraghty,49271
Clark Gregg,9048
Derek de Lint,9128
Kate Jennings Grant,59697
Tessa Thompson,62561
David Denman,62562
Arthur Young,62563
Madeline Carroll,62564
Escher Holloway,62569
Rosine 'Ace' Hatem,62568
Molly Bryant,62570
John Bobek,62565
Brad Surosky,62566
Karina Logue,62567
Owen Smith,62572
John Waugh,62571
Alexa PenaVega,57674
Daryl Sabara,57675
Antonio Banderas,3131
Carla Gugino,17832
Alan Cumming,10697
Teri Hatcher,10742
Cheech Marin,11159
Danny Trejo,11160
Robert Patrick,418
Tony Shalhoub,4252
Richard Linklater,564
Mike Judge,17403
Guillermo Navarro,3113
Johnny Reno,96007
Shannon Shea,1189737
George Clooney,1461
50 Cent,62644
Adewale Akinnuoye-Agbaje,31164
Omar Benson Miller,334
Terrence Howard,18288
Viola Davis,19492
Ashley Walters,61364
Tory Kittles,62645
Marc John Jefferies,62646
Sullivan Walker,62647
Bill Duke,1103
Mpho Koaho,59713
Serena Reeder,62648
Russell Hornsby,62649
Vanessa Madden,62652
Joseph Pierre,62650
Ryan Allen,62651
Brendan Jeffers,62654
Anastasia Hill,62655
Zainab Musa,62653
Lawrence Bayne,133921
Kurt Russell,6856
Stacy Keach,825
Steve Buscemi,884
Cliff Robertson,19153
Georges Corraface,35529
Michelle Forbes,41820
Valeria Golino,3124
A. J. Langer,157904
Peter Fonda,8949
Bruce Campbell,11357
Jeff Imada,169628
Al Leong,61704
James Lew,94089
Julien Cesario,1592534
Breckin Meyer,33654
Ryan Reynolds,10859
Melissa George,27755
Jesse James,10135
Chloë Grace Moretz,56734
Jimmy Bennett,6860
Rachel Nichols,50347
Philip Baker Hall,4492
Isabel Conner,62728
Brendan Donaldson,62729
David Gee,62732
Rich Komenich,62731
Annabel Armour,62730
Danny McCarthy,59145
Nancy Lollar,62733
José Taitano,62734
Lenore Thomas,62737
Jenny Strubin,62736
Dorian Kingi,62735
Elisha Cuthbert,25837
Paris Hilton,38406
Brian Van Holt,12792
Jared Padalecki,49623
Chad Michael Murray,62747
Jon Abrahams,17866
Robert Ri'chard,52037
Thomas Adamson,62749
Dragicia Debert,62748
Murray Smith,62750
Sam Harkess,62751
Damon Herriman,62752
Emma Lung,62754
Andy Anderson,62753
Kendal Rae,1094514
Tim Allen,12898
Kristin Davis,38025
Danny Glover,2047
Spencer Breslin,35654
Robert Downey Jr.,3223
Zena Grey,62760
Joshua Leonard,26852
Jane Curtin,58184
Annabelle Gurwitch,42324
Jarrad Paul,62763
Bess Wohl,62762
Shawn Pyfrom,62761
Joel David Moore,59231
Kevin Cooney,25711
Craig Kilborn,60951
Jeanette Brox,62764
Rhea Seehorn,62765
Koji Kataoka,62766
Casey Sander,42141
Mark Robert Ellis,1741409
Mickey Rourke,2295
Kim Basinger,326
Margaret Whitton,60700
David Margulies,8875
Christine Baranski,11870
Karen Young,16215
Dwight Weist,2374
Roderick Cook,1217752
Victor Truro,163851
Justine Johnston,165458
Jon Foster,20132
Frankie Muniz,51391
Jimmi Simpson,22125
Wendell Pierce,17859
Sophia Bush,54830
Adam Goldberg,6163
Billy Slaughter,62784
Nicole Oppermann,62783
April Wood,62785
Rio Hackford,62787
Billy Louviere,62788
Monica Monica,62786
Maria Kalinina,62790
Rick Green,62793
J. Richey Nash,62789
Lauren Lorbeck,62791
Veronica Mosgrove,62792
James Haven,21166
Balthazar Getty,9296
Henry Rollins,9290
Navi Rawat,43778
Judah Friedlander,52860
Jason Mewes,19302
Krista Allen,21858
Jenny Wade,33430
Josh Zuckerman,62816
Eric Dane,58115
Anthony 'Treach' Criss,62817
Chauntae Davies,62818
Diane Ayala Goldner,62819
Somah Haaland,62820
Tyler Patrick Jones,62821
Eileen Ryan,12543
Duane Whitaker,11804
Hannah Schick,62823
Gary J. Tunnicliffe,62824
Mike J. Regan,23493
Will Arnett,21200
Will Forte,62831
Kristen Wiig,41091
Chi McBride,8687
Lee Majors,18589
Sam Lloyd,46920
Malin Åkerman,50463
Bill Hader,19278
Jenna Fischer,51856
Michael Ormsby,62832
Ryun Yu,62834
Chandler Hill,62837
Charles Rahi Chun,62833
Derek Waters,62836
Susanne Wright,62835
Ashley Johnson,34486
Brooke Bloom,56685
Anna Becker,62838
Brian Scolaro,62840
Patricia Arquette,4687
Heather Langenkamp,5141
John Saxon,11163
Craig Wasson,62893
Laurence Fishburne,2975
Ken Sagoes,63915
Rodney Eastman,63916
Jennifer Rubin,56978
Bradley Gregg,3039
Ira Heiden,44816
Penelope Sudrow,174848
Priscilla Pointer,11793
Clayton Landey,101013
Brooke Bundy,72157
Kristen Clayton,552162
Sally Piper,553736
Rozlyn Sorrell,553737
Nan Martin,87039
Zsa Zsa Gábor,44715
Stacey Alden,553738
Dick Cavett,10565
Michael Rougas,194092
Jack Shea,190793
Paul Kent,157612
Mary Brown,553739
Melanie Doctors,553740
Donna Durham,553741
Alyson Hannigan,21595
Adam Campbell,58952
Sophie Monk,52854
Jennifer Coolidge,38334
Fred Willard,20753
Meera Simhan,62843
Eddie Griffin,62842
Marie Matiko,61696
Tony Cox,19754
Mauricio Sanchez,62844
Charlie Dell,62846
Beverly Polcyn,62845
Scott Bridges,62850
Dana Seltzer,62847
Tom Lenk,62849
Valery M. Ortiz,62848
Tom Fitzpatrick,62851
Susse Budde,62852
Allison Kyler,159913
Gian Franco Tordi,1868278
Andy Samberg,62861
Isla Fisher,52848
Danny McBride,62862
Jorma Taccone,62863
Ian McShane,6972
Chris Parnell,51382
Mark Acheson,32751
Ken Kirzinger,50094
Alana Husband,41434
Chester Tam,62864
Brittney Irvin,62866
Brittany Tiplady,62865
Andrew Moxham,62867
Alvin Sanders,62869
Terri O'Neill,62868
Chris Eastman,62870
Paulo Ribeiro,1171405
Agnes Bruckner,51536
Hugh Dancy,12791
Katja Riemann,1874
Olivier Martinez,15533
Bryan Dick,47703
Chris Geere,62879
Jack Wilson,62882
Vitalie Ursu,62883
Tom Harper,62880
Bogdan Voda,62884
Kata Dobó,30436
Rodica Mandache,62885
Sandu Mihai Gruia,62886
Helga Racz,62887
Lia Bugnar,62888
Sofia Vladu,62890
Mihai Calin,62889
David Finti,62891
Anatole Taubman,62892
John Kerr,100995
Heike Makatsch,7059
Armin Rohde,1083
David Oyelowo,35013
Wilfried Hochholdinger,20021
Edward Burns,12833
Jemima Rooper,62932
Ben Kingsley,2282
August Zirner,11951
Catherine McCormack,2462
Alvin Van Der Kuech,62933
William Armstrong,29616
Corey Johnson,17199
Andrew Blanchard,62934
Scott Bellefeville,62936
Nikita Lespinasse,62935
Sai-Kit Yung,62937
Ho Hon Chou,62938
Anezka Novak,62940
Antonin Hausknecht,62939
John Hyams,62941
Lennie Loftin,42200
Danny DeVito,518
Ben Garant,59413
Carlos Alazraqui,59784
Mary Birdsong,63232
Niecy Nash,63231
Wendi McLendon-Covey,63234
Cedric Yarbrough,63235
David Koechner,28638
Brandon Molale,63238
Alejandra Gutierrez,63236
Patton Oswalt,10872
Toby Huss,18271
Ian Roberts,13101
Dave Holmes,63240
Kerri Kenney-Silver,63220
Thomas Lennon,539
Joe Lo Truglio,21131
Irina Voronina,138970
Kyle Dunnigan,1243167
Paul Reubens,5129
Paul Rudd,22226
Ken Marino,77089
Michael Ian Black,22224
Michael Showalter,22215
Mindy Sterling,13924
Dwayne Johnson,18918
J.P. Manoux,88702
Julian Morris,47628
Lindy Booth,51936
Jon Bon Jovi,32362
Sandra McCoy,63275
Paul James,63277
Jesse Janzen,63278
Ethan Cohn,63280
Anna Deavere Smith,63279
Erica Yates,63281
Jane Beard,58967
Ranel Johnson,63285
Ashleigh Pixley,63283
Michael Kennedy,63286
Jarvis W. George,63287
Shauna Sauls,63284
Sabrina Gilbert,63282
Shannon Cusack,63288
Gary Cole,21163
Kristy Wu,94135
Jennifer Garner,9278
Mark Ruffalo,103
Andy Serkis,1333
Kathy Baker,1907
Samuel Ball,21532
Marcia DeBonis,116691
Phil Reeves,58741
Sean Marquette,63373
Christa Brittany  Allen,63372
Kiersten Warren,23504
Susan Egan,86128
Lynn Collins,21044
Renee Olstead,155621
Alexandra Kyle,157108
Alex Black,154694
Joe Grifasi,4887
Mary Pat Gleason,62595
Ashley Benson,78030
Brittany Curran,88072
Brie Larson,60073
Megan Lusk,52272
Julia Roth,1564984
Sarah Loew,1564987
Philip Pavel,20754
Maz Jobrani,2252
Robinne Lee,55258
Benita Krista Nall,1564989
Catherine Combs,1367171
Gia Mantegna,137424
Sydni Beaudoin,1072036
George Hine,1622585
Irena Violette,1573492
Ian Barford,181514
Sara Swain,1622591
Jim Gaffigan,84407
Corena Chase,133070
Crystal Michelle,1622612
Nadine Ellis,168925
Adrian Armas,928295
Carmit Bachar,1239752
Tyce Diorio,1212446
Stacey Harper,1622614
Brandon Henschel,1223005
Kadee Sweeney,1622616
Kimberly Wyatt,1220575
Nancy O'Meara,1229700
Scout Taylor-Compton,21318
Tara Battani,1622623
Nicole Abisinio,83920
Gretchen Mol,15370
Patti LuPone,5699
Peter Onorati,21490
Ryan Merriman,57136
Richard V. Licata,1388505
Marcell Rosenblatt,1388506
Larry Bagby,426
Alexander Polinsky,63493
Kirby Heyborne,63494
Corbin Allred,63492
Ethan Vincent,63498
Melinda Renee,63499
Ruby Chase O'Neil,63500
Jeff Birk,63501
Ben Gourley,63502
Chris Clark,63508
M. Casey Reeves,63507
Curt Dousett,63505
Michael Buster,63495
Randy Beard,63504
Tane Williams,63503
Christian Lee,63509
Philip Malzl,63511
Christian Malzl,63510
Dawn Graham,63512
Peter Holden,1225911
Jeff Bridges,1229
Missy Peregrym,34434
Vanessa Lengies,52938
Maddy Curley,63677
Nikki SooHoo,63676
Kellan Lutz,34502
John Patrick Amedori,43464
Jon Gries,9629
Gia Carides,14226
Polly Holliday,11715
Mio Dzakula,63678
Svetlana Efremova,63679
Annie Corley,6907
Tim Daggett,63683
Bart Conner,63682
Julie Warner,63681
Tarah Paige,63680
Elfi Schlegel,63684
Brian Gattas,63686
Harrison Wills,63685
Calli Ryals,1584877
Carl Weathers,1101
Craig T. Nelson,8977
Vanity,45481
Sharon Stone,4430
Thomas F. Wilson,1065
Robert Davi,2055
Jack Thibeau,14320
Roger Aaron Brown,44054
Stan Foster,162900
Mary Ellen Trainor,23967
Ed O'Ross,8658
Bob Minor,156869
David Glen Eisley,1228808
Dennis Hayden,7679
Brian Libby,6580
Matt Landers,156522
Thomas Wagner,555084
Gerard Butler,17276
Ralph Fiennes,5469
Lubna Azabal,77498
Ashraf Barhom,766
Jessica Chastain,83002
Vanessa Redgrave,13333
James Nesbitt,34715
Brian Cox,1248
John Kani,51878
Dragan Mićanović,31648
Paul Jesson,72308
Dan Tana,1413863
Miodrag Milovanov ,1050902
Nikki Amuka-Bird,109319
Liam Boyle,88322
Jack Gordon,97505
